,first_name,last_name,name,age,race,ELLStatus,grade,school,subject,teacher,year,studentID
0,Courtney,Olson,Courtney Olson,14,White,Yes,8,Burley Middle School,Language Arts,Leonard Patel,2020,2501
1,Tammy,Riley,Tammy Riley,14,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2502
2,Mary,Griffith,Mary Griffith,12,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2503
3,Alyssa,Brock,Alyssa Brock,12,Asian,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2504
4,John,Pena,John Pena,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2505
5,Denise,Cook,Denise Cook,13,Asian,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2506
6,Dana,Velez,Dana Velez,13,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2507
7,Hailey,Jones,Hailey Jones,14,Hispanic,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2508
8,Brian,Martin,Brian Martin,14,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2509
9,Lisa,Brooks,Lisa Brooks,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2510
10,Mary,Jarvis,Mary Jarvis,12,Black/African American,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2511
11,Amanda,Dixon,Amanda Dixon,13,Hispanic,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2512
12,William,Moreno,William Moreno,14,Hispanic,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2513
13,Cindy,Williams,Cindy Williams,12,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2514
14,Stacey,Harris,Stacey Harris,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2515
15,Lori,Luna,Lori Luna,12,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2516
16,Jordan,Jones,Jordan Jones,12,Hispanic,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2517
17,Keith,Cole,Keith Cole,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2518
18,Katherine,Russell,Katherine Russell,13,Hispanic,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2519
19,Tonya,Peters,Tonya Peters,14,Black/African American,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2520
20,Henry,Hayes,Henry Hayes,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2521
21,Meghan,Mcpherson,Meghan Mcpherson,13,Black/African American,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2522
22,Kristen,Friedman,Kristen Friedman,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2523
23,Taylor,Rosales,Taylor Rosales,12,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2524
24,Troy,Small,Troy Small,13,Multi-racial,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2525
25,Taylor,Willis,Taylor Willis,14,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2526
26,Melissa,Dunn,Melissa Dunn,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2527
27,Mario,Mcdonald,Mario Mcdonald,13,White,Yes,8,Burley Middle School,Language Arts,Leonard Patel,2020,2528
28,Alan,Acevedo,Alan Acevedo,12,Hispanic,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2529
29,Dawn,Hull,Dawn Hull,14,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2530
30,Brent,Peterson,Brent Peterson,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2531
31,Christopher,Allen,Christopher Allen,12,Multi-racial,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2532
32,Cassandra,Webster,Cassandra Webster,14,Hispanic,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2533
33,Michael,Barrett,Michael Barrett,12,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2534
34,Andrew,Thomas,Andrew Thomas,14,Black/African American,Yes,8,Burley Middle School,Language Arts,Mario Harris,2020,2535
35,Theodore,King,Theodore King,13,White,Yes,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2536
36,Samuel,Watts,Samuel Watts,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2537
37,Shannon,Schneider,Shannon Schneider,12,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2538
38,Lindsey,Gardner,Lindsey Gardner,12,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2539
39,Michael,Diaz,Michael Diaz,12,Hispanic,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2540
40,Donna,Shannon,Donna Shannon,12,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2541
41,Anthony,Patterson,Anthony Patterson,12,White,Yes,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2542
42,Michael,Guerrero,Michael Guerrero,13,White,Yes,8,Burley Middle School,Language Arts,Leonard Patel,2020,2543
43,Ralph,Martin,Ralph Martin,13,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2544
44,Cody,Walls,Cody Walls,14,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2545
45,Michael,Moore,Michael Moore,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2546
46,Heather,Sanchez,Heather Sanchez,12,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2547
47,David,Barnes,David Barnes,13,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2548
48,Francisco,Roberts,Francisco Roberts,13,Black/African American,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2549
49,Jonathan,Carpenter,Jonathan Carpenter,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2550
50,Tracy,Brown,Tracy Brown,12,Hispanic,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2551
51,Erik,Griffin,Erik Griffin,12,Hispanic,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2552
52,Daniel,Baker,Daniel Baker,13,Asian,Yes,8,Burley Middle School,Language Arts,Mario Harris,2020,2553
53,Jessica,Anderson,Jessica Anderson,13,Asian,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2554
54,Vincent,Lopez,Vincent Lopez,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2555
55,Kathleen,Powers,Kathleen Powers,14,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2556
56,Jacob,English,Jacob English,13,Multi-racial,Yes,8,Burley Middle School,Language Arts,Mario Harris,2020,2557
57,Alexandria,Jordan,Alexandria Jordan,14,Hispanic,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2558
58,Monica,Morales,Monica Morales,14,Asian,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2559
59,Jessica,Ponce,Jessica Ponce,14,Hispanic,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2560
60,Stephen,Conner,Stephen Conner,13,Black/African American,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2561
61,Rachael,Smith,Rachael Smith,13,Asian,Yes,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2562
62,Heather,Castillo,Heather Castillo,12,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2563
63,Roger,Dominguez,Roger Dominguez,13,Black/African American,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2564
64,Wendy,Patterson,Wendy Patterson,13,Hispanic,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2565
65,Amanda,Smith,Amanda Smith,12,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2566
66,Susan,Peterson,Susan Peterson,14,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2567
67,Victoria,Dixon,Victoria Dixon,12,Asian,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2568
68,Megan,Mccoy,Megan Mccoy,13,Hispanic,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2569
69,John,Thompson,John Thompson,13,White,Yes,8,Burley Middle School,Language Arts,Mario Harris,2020,2570
70,Mary,Stephens,Mary Stephens,12,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2571
71,Rhonda,Wells,Rhonda Wells,13,Multi-racial,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2572
72,Jesse,Weaver,Jesse Weaver,13,Asian,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2573
73,John,Chen,John Chen,14,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2574
74,Heather,King,Heather King,12,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2575
75,Nicholas,Gilmore,Nicholas Gilmore,13,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2576
76,Shawn,Hernandez,Shawn Hernandez,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2577
77,Lisa,Peters,Lisa Peters,12,Hispanic,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2578
78,Ryan,Taylor,Ryan Taylor,14,Hispanic,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2579
79,Sabrina,Best,Sabrina Best,12,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2580
80,Christopher,Carr,Christopher Carr,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2581
81,Justin,Coleman,Justin Coleman,12,White,Yes,8,Burley Middle School,Language Arts,Leonard Patel,2020,2582
82,Latoya,Smith,Latoya Smith,14,White,Yes,8,Burley Middle School,Language Arts,Leonard Patel,2020,2583
83,Tabitha,Mann,Tabitha Mann,12,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2584
84,Curtis,Marquez,Curtis Marquez,14,Black/African American,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2585
85,Susan,Patel,Susan Patel,13,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2586
86,William,Martin,William Martin,12,Hispanic,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2587
87,Yesenia,Lambert,Yesenia Lambert,12,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2588
88,Kenneth,Jackson,Kenneth Jackson,14,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2589
89,Diane,Pearson,Diane Pearson,14,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2590
90,Tonya,Tucker,Tonya Tucker,14,White,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2591
91,Joshua,Miller,Joshua Miller,13,Black/African American,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2592
92,Paul,Morton,Paul Morton,12,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2593
93,Gabriel,Cook,Gabriel Cook,14,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2594
94,Ryan,Romero,Ryan Romero,14,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2595
95,Timothy,Conley,Timothy Conley,14,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2596
96,Leslie,Tyler,Leslie Tyler,12,White,No,8,Burley Middle School,Language Arts,Emily Sanchez,2020,2597
97,Erin,Kelly,Erin Kelly,13,White,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2598
98,Denise,Johnson,Denise Johnson,12,Black/African American,No,8,Burley Middle School,Language Arts,Leonard Patel,2020,2599
99,Brittany,Murray,Brittany Murray,14,Hispanic,No,8,Burley Middle School,Language Arts,Mario Harris,2020,2600
0,Katie,Zimmerman,Katie Zimmerman,13,White,No,8,Burley Middle School,Social Studies,Barbara Bruce,2020,2601
1,Peter,Molina,Peter Molina,14,White,No,8,Burley Middle School,Social Studies,Cynthia Hernandez,2020,2602
2,Frank,Duke,Frank Duke,14,Black/African American,No,8,Burley Middle School,Social Studies,Cynthia Hernandez,2020,2603
3,Andrea,Smith,Andrea Smith,13,White,No,8,Burley Middle School,Social Studies,Angela Lee,2020,2604
4,Sarah,Harris,Sarah Harris,13,White,No,8,Burley Middle School,Social Studies,Angela Lee,2020,2605
5,Sharon,Campbell,Sharon Campbell,14,White,No,8,Burley Middle School,Social Studies,Cynthia Hernandez,2020,2606
6,Jill,Cole,Jill Cole,12,White,No,8,Burley Middle School,Social Studies,Cynthia Hernandez,2020,2607
7,Edward,Jones,Edward Jones,13,Hispanic,No,8,Burley Middle School,Social Studies,Angela Lee,2020,2608
8,Leslie,Hughes,Leslie Hughes,12,Black/African American,No,8,Burley Middle School,Social Studies,Cynthia Hernandez,2020,2609
