,first_name,last_name,name,age,race,ELLStatus,grade,school,subject,teacher,year,studentID
0,Courtney,Olson,Courtney Olson,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2501
1,Tammy,Riley,Tammy Riley,13,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2502
2,Mary,Griffith,Mary Griffith,11,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2503
3,Alyssa,Brock,Alyssa Brock,11,Asian,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2504
4,John,Pena,John Pena,12,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2505
5,Denise,Cook,Denise Cook,12,Asian,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2506
6,Dana,Velez,Dana Velez,12,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2507
7,Hailey,Jones,Hailey Jones,13,Hispanic,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2508
8,Brian,Martin,Brian Martin,13,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2509
9,Lisa,Brooks,Lisa Brooks,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2510
10,Mary,Jarvis,Mary Jarvis,11,Black/African American,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2511
11,Amanda,Dixon,Amanda Dixon,12,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2512
12,William,Moreno,William Moreno,13,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2513
13,Cindy,Williams,Cindy Williams,11,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2514
14,Stacey,Harris,Stacey Harris,12,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2515
15,Lori,Luna,Lori Luna,11,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2516
16,Jordan,Jones,Jordan Jones,11,Hispanic,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2517
17,Keith,Cole,Keith Cole,12,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2518
18,Katherine,Russell,Katherine Russell,12,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2519
19,Tonya,Peters,Tonya Peters,13,Black/African American,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2520
20,Henry,Hayes,Henry Hayes,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2521
21,Meghan,Mcpherson,Meghan Mcpherson,12,Black/African American,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2522
22,Kristen,Friedman,Kristen Friedman,12,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2523
23,Taylor,Rosales,Taylor Rosales,11,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2524
24,Troy,Small,Troy Small,12,Multi-racial,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2525
25,Taylor,Willis,Taylor Willis,13,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2526
26,Melissa,Dunn,Melissa Dunn,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2527
27,Mario,Mcdonald,Mario Mcdonald,12,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2528
28,Alan,Acevedo,Alan Acevedo,11,Hispanic,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2529
29,Dawn,Hull,Dawn Hull,13,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2530
30,Brent,Peterson,Brent Peterson,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2531
31,Christopher,Allen,Christopher Allen,11,Multi-racial,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2532
32,Cassandra,Webster,Cassandra Webster,13,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2533
33,Michael,Barrett,Michael Barrett,11,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2534
34,Andrew,Thomas,Andrew Thomas,13,Black/African American,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2535
35,Theodore,King,Theodore King,12,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2536
36,Samuel,Watts,Samuel Watts,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2537
37,Shannon,Schneider,Shannon Schneider,11,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2538
38,Lindsey,Gardner,Lindsey Gardner,11,White,Yes,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2539
39,Michael,Diaz,Michael Diaz,11,Hispanic,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2540
40,Donna,Shannon,Donna Shannon,11,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2541
41,Anthony,Patterson,Anthony Patterson,11,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2542
42,Michael,Guerrero,Michael Guerrero,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2543
43,Ralph,Martin,Ralph Martin,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2544
44,Cody,Walls,Cody Walls,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2545
45,Michael,Moore,Michael Moore,12,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2546
46,Heather,Sanchez,Heather Sanchez,11,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2547
47,David,Barnes,David Barnes,12,White,Yes,7,Burley Middle School,Language Arts,Maria Molina,2019,2548
48,Francisco,Roberts,Francisco Roberts,12,Black/African American,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2549
49,Jonathan,Carpenter,Jonathan Carpenter,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2550
50,Tracy,Brown,Tracy Brown,11,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2551
51,Erik,Griffin,Erik Griffin,11,Hispanic,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2552
52,Daniel,Baker,Daniel Baker,12,Asian,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2553
53,Jessica,Anderson,Jessica Anderson,12,Asian,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2554
54,Vincent,Lopez,Vincent Lopez,12,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2555
55,Kathleen,Powers,Kathleen Powers,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2556
56,Jacob,English,Jacob English,12,Multi-racial,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2557
57,Alexandria,Jordan,Alexandria Jordan,13,Hispanic,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2558
58,Monica,Morales,Monica Morales,13,Asian,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2559
59,Jessica,Ponce,Jessica Ponce,13,Hispanic,Yes,7,Burley Middle School,Language Arts,Maria Molina,2019,2560
60,Stephen,Conner,Stephen Conner,12,Black/African American,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2561
61,Rachael,Smith,Rachael Smith,12,Asian,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2562
62,Heather,Castillo,Heather Castillo,11,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2563
63,Roger,Dominguez,Roger Dominguez,12,Black/African American,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2564
64,Wendy,Patterson,Wendy Patterson,12,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2565
65,Amanda,Smith,Amanda Smith,11,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2566
66,Susan,Peterson,Susan Peterson,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2567
67,Victoria,Dixon,Victoria Dixon,11,Asian,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2568
68,Megan,Mccoy,Megan Mccoy,12,Hispanic,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2569
69,John,Thompson,John Thompson,12,White,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2570
70,Mary,Stephens,Mary Stephens,11,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2571
71,Rhonda,Wells,Rhonda Wells,12,Multi-racial,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2572
72,Jesse,Weaver,Jesse Weaver,12,Asian,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2573
73,John,Chen,John Chen,13,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2574
74,Heather,King,Heather King,11,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2575
75,Nicholas,Gilmore,Nicholas Gilmore,12,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2576
76,Shawn,Hernandez,Shawn Hernandez,12,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2577
77,Lisa,Peters,Lisa Peters,11,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2578
78,Ryan,Taylor,Ryan Taylor,13,Hispanic,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2579
79,Sabrina,Best,Sabrina Best,11,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2580
80,Christopher,Carr,Christopher Carr,12,White,Yes,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2581
81,Justin,Coleman,Justin Coleman,11,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2582
82,Latoya,Smith,Latoya Smith,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2583
83,Tabitha,Mann,Tabitha Mann,11,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2584
84,Curtis,Marquez,Curtis Marquez,13,Black/African American,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2585
85,Susan,Patel,Susan Patel,12,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2586
86,William,Martin,William Martin,11,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2587
87,Yesenia,Lambert,Yesenia Lambert,11,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2588
88,Kenneth,Jackson,Kenneth Jackson,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2589
89,Diane,Pearson,Diane Pearson,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2590
90,Tonya,Tucker,Tonya Tucker,13,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2591
91,Joshua,Miller,Joshua Miller,12,Black/African American,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2592
92,Paul,Morton,Paul Morton,11,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2593
93,Gabriel,Cook,Gabriel Cook,13,White,No,7,Burley Middle School,Language Arts,Maria Molina,2019,2594
94,Ryan,Romero,Ryan Romero,13,White,Yes,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2595
95,Timothy,Conley,Timothy Conley,13,White,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2596
96,Leslie,Tyler,Leslie Tyler,11,White,Yes,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2597
97,Erin,Kelly,Erin Kelly,12,White,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2598
98,Denise,Johnson,Denise Johnson,11,Black/African American,No,7,Burley Middle School,Language Arts,Rachel Cohen,2019,2599
99,Brittany,Murray,Brittany Murray,13,Hispanic,No,7,Burley Middle School,Language Arts,Timothy Pugh,2019,2600
0,Katie,Zimmerman,Katie Zimmerman,12,White,No,7,Burley Middle School,Social Studies,Frank Barker,2019,2601
1,Peter,Molina,Peter Molina,13,White,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2602
2,Frank,Duke,Frank Duke,13,Black/African American,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2603
3,Andrea,Smith,Andrea Smith,12,White,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2604
4,Sarah,Harris,Sarah Harris,12,White,Yes,7,Burley Middle School,Social Studies,Melissa Molina,2019,2605
5,Sharon,Campbell,Sharon Campbell,13,White,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2606
6,Jill,Cole,Jill Cole,11,White,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2607
7,Edward,Jones,Edward Jones,12,Hispanic,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2608
8,Leslie,Hughes,Leslie Hughes,11,Black/African American,No,7,Burley Middle School,Social Studies,Frank Barker,2019,2609
9,Sarah,Morgan,Sarah Morgan,13,Black/African American,No,7,Burley Middle School,Social Studies,Frank Barker,2019,2610
10,Shannon,Vazquez,Shannon Vazquez,11,Hispanic,No,7,Burley Middle School,Social Studies,Frank Barker,2019,2611
11,Erik,Rhodes,Erik Rhodes,13,Hispanic,Yes,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2612
12,Kathy,Cooper,Kathy Cooper,13,Black/African American,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2613
13,Jorge,Dunlap,Jorge Dunlap,12,Asian,Yes,7,Burley Middle School,Social Studies,Melissa Molina,2019,2614
14,Mary,Kaufman,Mary Kaufman,12,White,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2615
15,Sarah,Evans,Sarah Evans,11,White,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2616
16,Jason,Cox,Jason Cox,12,White,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2617
17,Holly,Sims,Holly Sims,13,White,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2618
18,Dana,Edwards,Dana Edwards,12,Hispanic,No,7,Burley Middle School,Social Studies,Frank Barker,2019,2619
19,Susan,Atkinson,Susan Atkinson,13,White,No,7,Burley Middle School,Social Studies,Frank Barker,2019,2620
20,Jessica,Martin,Jessica Martin,12,Black/African American,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2621
21,Jonathon,Wells,Jonathon Wells,11,White,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2622
22,Ryan,Fisher,Ryan Fisher,12,Hispanic,No,7,Burley Middle School,Social Studies,Frank Barker,2019,2623
23,Felicia,Smith,Felicia Smith,13,White,No,7,Burley Middle School,Social Studies,Rachel Lopez,2019,2624
24,Lauren,Flynn,Lauren Flynn,13,White,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2625
25,Emily,Barry,Emily Barry,13,Asian,No,7,Burley Middle School,Social Studies,Melissa Molina,2019,2626
