,first_name,last_name,name,age,race,ELLStatus,grade,school,subject,teacher,year,studentID
0,Michelle,Lee,Michelle Lee,11,Multi-racial,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7501
1,Janet,Santana,Janet Santana,10,Hispanic,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7502
2,Chelsea,Jones,Chelsea Jones,9,White,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7503
3,Matthew,Martinez,Matthew Martinez,9,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7504
4,Cesar,Acevedo,Cesar Acevedo,11,White,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7505
5,Patrick,West,Patrick West,10,White,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7506
6,Linda,Brown,Linda Brown,9,Asian,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7507
7,Richard,Willis,Richard Willis,10,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7508
8,Carl,Brown,Carl Brown,11,White,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7509
9,Daniel,Dalton,Daniel Dalton,11,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7510
10,Justin,Rowe,Justin Rowe,10,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7511
11,Megan,Perez,Megan Perez,9,White,Yes,6,Burley Middle School,Language Arts,Renee Harrison,2020,7512
12,Paige,Vargas,Paige Vargas,9,White,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7513
13,Barbara,Robinson,Barbara Robinson,11,Asian,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7514
14,Edwin,Fowler,Edwin Fowler,11,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7515
15,Kevin,Johnson,Kevin Johnson,10,White,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7516
16,Aaron,Garcia,Aaron Garcia,9,White,Yes,6,Burley Middle School,Language Arts,Renee Harrison,2020,7517
17,Christopher,Kelly,Christopher Kelly,10,White,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7518
18,Angela,Francis,Angela Francis,10,White,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7519
19,David,Thomas,David Thomas,10,Black/African American,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7520
20,Glenn,Clayton,Glenn Clayton,10,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7521
21,Connie,Clark,Connie Clark,11,Black/African American,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7522
22,Crystal,Watson,Crystal Watson,10,White,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7523
23,Adrian,Miles,Adrian Miles,11,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7524
24,Briana,Maxwell,Briana Maxwell,10,Hispanic,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7525
25,James,Johnson,James Johnson,11,Black/African American,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7526
26,Chad,Thomas,Chad Thomas,10,Hispanic,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7527
27,William,Wilson,William Wilson,9,Asian,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7528
28,Catherine,Mccoy,Catherine Mccoy,11,White,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7529
29,Matthew,Bates,Matthew Bates,11,Multi-racial,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7530
30,Max,Nielsen,Max Nielsen,11,White,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7531
31,Justin,Herrera,Justin Herrera,11,Hispanic,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7532
32,Jillian,Reed,Jillian Reed,9,Hispanic,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7533
33,Alex,Anderson,Alex Anderson,10,Hispanic,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7534
34,Vincent,Black,Vincent Black,11,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7535
35,Douglas,Pacheco,Douglas Pacheco,10,White,No,6,Burley Middle School,Language Arts,Roger Williams,2020,7536
36,Nathan,Jensen,Nathan Jensen,11,Asian,Yes,6,Burley Middle School,Language Arts,Renee Harrison,2020,7537
37,Justin,Robinson,Justin Robinson,11,Multi-racial,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7538
38,Jennifer,Smith,Jennifer Smith,10,White,No,6,Burley Middle School,Language Arts,Renee Harrison,2020,7539
39,Randy,Rodriguez,Randy Rodriguez,11,Black/African American,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7540
40,Jonathan,Wyatt,Jonathan Wyatt,9,Multi-racial,No,6,Burley Middle School,Language Arts,Joshua Moore,2020,7541
